"","X","BD","year","yd","monthproxy","smax","zmax","delta","sanom","sb","zt","zb","N2","zn2","tmax","tt","tb","smax_yn","Name","NumofPoly","NumofSta","Region","Area","Type","lon","lat"
"9272",9271,89,1999,267,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.875,35.9833
"9603",9602,102,2000,45,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8067,36.235
"9604",9603,63,2000,45,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8917,36.25
"9605",9604,72,2000,45,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.91,36.1267
"9606",9605,115,2000,45,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8067,36.1333
"9607",9606,88,2000,46,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8783,35.9083
"9608",9607,131,2000,46,1,35.88,67,74.2222222222222,0.417999999999999,35.462,52.7777777777778,127,0.000298034510460871,53,13.63,13.7466666666667,11.2,1,1,1,1,"MAB",1540.431866,"SB",-74.8433,35.7467
"9698",9697,92,2000,79,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.815,36.2967
"9699",9698,93,2000,79,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8433,36.125
"9703",9702,107,2000,79,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8767,35.8333
