"","spp","Region","Type","bin","n","mean_ct","se_ct","conf_interval05","conf_interval95"
"205","cluhar","GOM","IS",1,1000,5.20789124207745,0.00612094753106139,4.78181865496351,5.54313860732072
"206","cluhar","GOM","IS",2,1000,5.03711159909651,0.00185259544561481,4.92543476208499,5.16698102768574
"207","cluhar","GOM","IS",3,1000,5.55270795511428,0.00590250948907275,5.18397600661979,5.87955765543472
"208","cluhar","GOM","IS",4,1000,5.47321451812885,0.0112752856634831,5.10719207266999,5.98377437804518
"209","cluhar","GOM","IS",5,951,5.6579303928904,0.0288649244529614,3,6
"210","cluhar","GOM","MS",1,1000,5.34274570884311,0.00530804114705221,4.9848844050985,5.60711642334219
"211","cluhar","GOM","MS",2,1000,5.48077299226589,0.00798334131370841,4.86583598476306,5.81907048398142
"212","cluhar","GOM","MS",3,1000,5.38976439466671,0.0106907493707966,5.07653242150247,5.93221246369248
"213","cluhar","GOM","MS",4,1000,5.66597503527594,0.00616455869084727,5.29025897758594,5.94660602809767
"214","cluhar","GOM","MS",5,1000,5.38648281904917,0.00645264570996799,5.10300742081338,5.77494685245556
"215","cluhar","SNE","MS",1,1000,4.86157146948196,0.03038592608163,1.76635158538034,5.76778585698483
"216","cluhar","SNE","MS",2,1000,4.44103427942892,0.0297999783611966,2.16179257162313,5.79324072305295
"217","cluhar","SNE","MS",3,1000,5.61519762915804,0.0100615499474876,4.62318509138669,5.9037135422153
"218","cluhar","SNE","MS",4,1000,5.68443948597733,0.00752817113906935,5.00994163686512,5.93293880442757
"219","cluhar","SNE","MS",5,1000,4.64145844695343,0.025895954751814,1.73918008023619,5.08725078110304
"220","cycspp","GB","BANK",1,1000,3.71969267352936,0.0062057601885638,3.26349037640843,4.04337940269163
"221","cycspp","GB","BANK",2,1000,4.55530925185646,0.00832516461106397,3.99698953458467,5
"222","cycspp","GB","BANK",3,1000,6,1.96504229413733e-17,6,6
"223","cycspp","GB","BANK",4,950,5.23709603046398,0.00917397865729082,5,6
"224","cycspp","GB","BANK",5,1000,4.38079545574956,0.00625825566704632,4.12913047552309,4.89796762775823
"225","cycspp","GB","SB",1,999,4.00802438738843,0.00995091880598513,3.33488702090827,4.60870591831593
"226","cycspp","GB","SB",2,991,3.96535067325314,0.0079619853059868,3.42991373645529,4.4598963045701
"227","cycspp","GB","SB",3,995,5.14416150794474,0.0134388776662499,4.19862434182335,5.86286567706084
