"","Region","Type",".y.","group1","group2","n1","n2","estimate","conf.low","conf.high","se","statistic","df","p.adj","p.adj.signif","method"
"104","MAB","MS","diff_ci","wind4","wind6",11,11,-0.0476802626586055,-0.746157561331258,0.650797036014047,0.156997977063162,0.214748225966579,19.8322926653337,1,"ns","Games-Howell"
"105","MAB","MS","diff_ci","wind5","wind6",11,11,-0.0673761888682338,-0.772114370471665,0.637361992735197,0.158456663374893,0.300663657965062,19.897007653875,1,"ns","Games-Howell"
"106","MAB","SB","diff_ci","wind1","wind2",9,9,0.0220705622926365,-1.23086212143382,1.27500324601909,0.274942068412493,0.0567619366211702,15.992373793892,1,"ns","Games-Howell"
"107","MAB","SB","diff_ci","wind1","wind3",9,9,-0.175202502236417,-1.40294161799934,1.0525366135265,0.269417894839156,0.459831658495375,15.9944148636762,0.997,"ns","Games-Howell"
"108","MAB","SB","diff_ci","wind1","wind4",9,9,-0.13959298836731,-1.41954793744419,1.14036196070957,0.280754673648407,0.351577935989169,15.9388874299119,0.999,"ns","Games-Howell"
"109","MAB","SB","diff_ci","wind1","wind5",9,9,-0.131498179373843,-1.53331165842414,1.27031529967645,0.305948044568915,0.303918446283729,15.3238781267233,1,"ns","Games-Howell"
"110","MAB","SB","diff_ci","wind1","wind6",9,9,-0.112151522571855,-1.52037655913374,1.29607351399003,0.307239320428619,0.258115081169694,15.2824920518037,1,"ns","Games-Howell"
"111","MAB","SB","diff_ci","wind2","wind3",9,9,-0.197273064529053,-1.43909353314267,1.04454740408457,0.272464213860004,0.511968598362862,15.9737893939967,0.995,"ns","Games-Howell"
"112","MAB","SB","diff_ci","wind2","wind4",9,9,-0.161663550659946,-1.45459455205208,1.13126745073219,0.2836792776186,0.402967019311275,15.9742647857407,0.998,"ns","Games-Howell"
"113","MAB","SB","diff_ci","wind2","wind5",9,9,-0.15356874166648,-1.5662179678772,1.25908048454424,0.308634009387057,0.351839056318875,15.4477092730795,0.999,"ns","Games-Howell"
"114","MAB","SB","diff_ci","wind2","wind6",9,9,-0.134222084864491,-1.55318422894048,1.2847400592115,0.309914094213585,0.306244046865674,15.4094330605424,1,"ns","Games-Howell"
"115","MAB","SB","diff_ci","wind3","wind4",9,9,0.035609513869107,-1.23370248261632,1.30492151035453,0.278328571344793,0.0904676390567514,15.8969472033172,1,"ns","Games-Howell"
"116","MAB","SB","diff_ci","wind3","wind5",9,9,0.0437043228625738,-1.34926456215164,1.43667320787679,0.303723250389153,0.101749283348233,15.2103783220957,1,"ns","Games-Howell"
"117","MAB","SB","diff_ci","wind3","wind6",9,9,0.0630509796645622,-1.33641196011193,1.46251391944106,0.305023944746719,0.14616483738117,15.1665813487435,1,"ns","Games-Howell"
